id,year,decade,rank,title,artist,title_norm,artist_norm,source,url,word_count
6380,1963,1960,44,Two Faces Have I,Lou Christie,two faces have i,lou christie,genius,https://genius.com/Lou-christie-two-faces-have-i-lyrics,123.0
6381,1963,1960,45,Busted,Ray Charles,busted,ray charles,genius,https://genius.com/Ray-charles-busted-lyrics,222.0
6382,1963,1960,46,Da Doo Ron Ron,The Crystals,da doo ron ron,the crystals,genius,https://genius.com/The-crystals-da-doo-ron-ron-lyrics,332.0
6383,1963,1960,47,Foolish Little Girl,The Shirelles,foolish little girl,the shirelles,genius,https://genius.com/The-shirelles-foolish-little-girl-lyrics,234.0
6385,1963,1960,49,In Dreams,Roy Orbison,in dreams,roy orbison,azlyrics,https://www.azlyrics.com/lyrics/royorbison/indreams.html,131.0
6387,1963,1960,51,I Can't Stay Mad at You,Skeeter Davis,i cant stay mad at you,skeeter davis,genius,https://genius.com/Skeeter-davis-i-cant-stay-mad-at-you-lyrics,218.0
6388,1963,1960,52,Losing You,Brenda Lee,losing you,brenda lee,genius,https://genius.com/Brenda-lee-losing-you-lyrics,100.0
6389,1963,1960,53,Mean Woman Blues,Roy Orbison,mean woman blues,roy orbison,genius,https://genius.com/Roy-orbison-mean-woman-blues-lyrics,167.0
6391,1963,1960,55,I Wanna Be Around,Tony Bennett,i wanna be around,tony bennett,genius,https://genius.com/Tony-bennett-i-wanna-be-around-lyrics,106.0
6392,1963,1960,56,You've Really Got a Hold on Me,The Miracles,youve really got a hold on me,the miracles,genius,https://genius.com/The-miracles-youve-really-got-a-hold-on-me-lyrics,296.0
6393,1963,1960,57,Sally Go 'Round the Roses,The Jaynetts,sally go round the roses,the jaynetts,genius,https://genius.com/Jaynetts-sally-go-round-the-roses-lyrics,280.0
6394,1963,1960,58,(You're the) Devil in Disguise,Elvis Presley,youre the devil in disguise,elvis presley,genius,https://genius.com/Elvis-presley-youre-the-devil-in-disguise-lyrics,202.0
6395,1963,1960,59,Those Lazy-Hazy-Crazy Days of Summer,Nat King Cole,those lazyhazycrazy days of summer,nat king cole,genius,https://genius.com/Nat-king-cole-those-lazy-hazy-crazy-days-of-summer-lyrics,234.0
6396,1963,1960,60,Baby Workout,Jackie Wilson,baby workout,jackie wilson,genius,https://genius.com/Jackie-wilson-baby-workout-lyrics,397.0
6397,1963,1960,61,Pride and Joy,Marvin Gaye,pride and joy,marvin gaye,azlyrics,https://www.azlyrics.com/lyrics/marvingaye/prideandjoy.html,187.0
6398,1963,1960,62,Deep Purple,Nino Tempo & April Stevens,deep purple,nino tempo april stevens,genius,https://genius.com/Nino-tempo-and-april-stevens-deep-purple-lyrics,192.0
6399,1963,1960,63,From a Jack to a King,Ned Miller,from a jack to a king,ned miller,genius,https://genius.com/Ned-miller-from-a-jack-to-a-king-lyrics,161.0
6400,1963,1960,64,Up on the Roof,The Drifters,up on the roof,the dri,genius,https://genius.com/The-drifters-up-on-the-roof-lyrics,239.0
6401,1963,1960,65,What Will Mary Say,Johnny Mathis,what will mary say,johnny mathis,genius,https://genius.com/Johnny-mathis-what-will-my-mary-say-lyrics,112.0
6402,1963,1960,66,Mama Didn't Lie,Jan Bradley,mama didnt lie,jan bradley,genius,https://genius.com/Jan-bradley-mama-didnt-lie-lyrics,232.0
6403,1963,1960,67,The Night Has a Thousand Eyes,Bobby Vee,the night has a thousand eyes,bobby vee,genius,https://genius.com/Bobby-vee-the-night-has-a-thousand-eyes-lyrics,211.0
6404,1963,1960,68,Don't Say Nothin' Bad (About My Baby),The Cookies,dont say nothin bad about my baby,the cookies,genius,https://genius.com/The-cookies-dont-say-nothin-bad-about-my-baby-lyrics,307.0
6405,1963,1960,69,Ring of Fire,Johnny Cash,ring of fire,johnny cash,azlyrics,https://www.azlyrics.com/lyrics/johnnycash/ringoffire.html,191.0
6406,1963,1960,70,Just One Look,Doris Troy,just one look,doris troy,genius,https://genius.com/Doris-troy-just-one-look-lyrics,132.0
6407,1963,1960,71,"Hello Muddah, Hello Fadduh (A Letter from Camp)",Allan Sherman,hello muddah hello fadduh a letter from camp,allan sherman,genius,https://genius.com/Allan-sherman-hello-muddah-hello-fadduh-a-letter-from-camp-lyrics,204.0
6408,1963,1960,72,Judy's Turn to Cry,Lesley Gore,judys turn to cry,lesley gore,genius,https://genius.com/Lesley-gore-judys-turn-to-cry-lyrics,226.0
6409,1963,1960,73,"Tie Me Kangaroo Down, Sport",Rolf Harris,tie me kangaroo down sport,rolf harris,genius,https://genius.com/Rolf-harris-tie-me-kangaroo-down-sport-lyrics,332.0
